[project, merge commit, file, approach, timeStamp]
Activiti,14b7afa5bbc302517647aaa1493265e15e90d4cb,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/14b7afa5bbc302517647aaa1493265e15e90d4cb/org/activiti/engine/impl/db/DbSqlSessionFactory,SimpleInitializationBlockHandler,2,865 ms
Activiti,bdcbc9661e6d9efad9771f8c90b5217166596d27,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/bdcbc9661e6d9efad9771f8c90b5217166596d27/org/activiti/engine/impl/calendar/CronExpression,InsertionLevelInitializationBlockHandler,4,536 ms
Activiti,bdcbc9661e6d9efad9771f8c90b5217166596d27,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/bdcbc9661e6d9efad9771f8c90b5217166596d27/org/activiti/engine/impl/calendar/CronExpression,SimpleInitializationBlockHandler,4,211 ms
Activiti,0c4697b1495ae377850574d9449242136502629c,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/0c4697b1495ae377850574d9449242136502629c/org/activiti/engine/impl/bpmn/diagram/ProcessDiagramGenerator,InsertionLevelInitializationBlockHandler,5,424 ms
Activiti,0c4697b1495ae377850574d9449242136502629c,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/0c4697b1495ae377850574d9449242136502629c/org/activiti/engine/impl/bpmn/diagram/ProcessDiagramGenerator,SimpleInitializationBlockHandler,3,599 ms
Activiti,d02071e076f49620f0bc201db569704ce478a4a5,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/d02071e076f49620f0bc201db569704ce478a4a5/org/activiti/rest/api/history/HistoricProcessInstanceBaseResource,InsertionLevelInitializationBlockHandler,1,972 ms
Activiti,d02071e076f49620f0bc201db569704ce478a4a5,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/d02071e076f49620f0bc201db569704ce478a4a5/org/activiti/rest/api/history/HistoricTaskInstanceBaseResource,InsertionLevelInitializationBlockHandler,2,037 ms
Activiti,d02071e076f49620f0bc201db569704ce478a4a5,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/d02071e076f49620f0bc201db569704ce478a4a5/org/activiti/rest/api/history/HistoricProcessInstanceBaseResource,SimpleInitializationBlockHandler,1,840 ms
Activiti,d02071e076f49620f0bc201db569704ce478a4a5,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/d02071e076f49620f0bc201db569704ce478a4a5/org/activiti/rest/api/history/HistoricTaskInstanceBaseResource,SimpleInitializationBlockHandler,2,009 ms
Activiti,4421b3ce469e8e69867e84e6fe4cd15c1283f090,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/4421b3ce469e8e69867e84e6fe4cd15c1283f090/org/activiti/engine/impl/persistence/entity/TableDataManager,InsertionLevelInitializationBlockHandler,1,503 ms
Activiti,4421b3ce469e8e69867e84e6fe4cd15c1283f090,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/4421b3ce469e8e69867e84e6fe4cd15c1283f090/org/activiti/engine/impl/persistence/entity/TableDataManager,SimpleInitializationBlockHandler,1,595 ms
Activiti,c16df687699e6631f5b2fdbb4c718c2cfb0bd369,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/c16df687699e6631f5b2fdbb4c718c2cfb0bd369/org/activiti/bpmn/converter/BaseBpmnXMLConverter,InsertionLevelInitializationBlockHandler,3,381 ms
Activiti,c16df687699e6631f5b2fdbb4c718c2cfb0bd369,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/c16df687699e6631f5b2fdbb4c718c2cfb0bd369/org/activiti/bpmn/converter/BpmnXMLConverter,InsertionLevelInitializationBlockHandler,3,385 ms
Activiti,c16df687699e6631f5b2fdbb4c718c2cfb0bd369,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/c16df687699e6631f5b2fdbb4c718c2cfb0bd369/org/activiti/bpmn/converter/BaseBpmnXMLConverter,SimpleInitializationBlockHandler,3,188 ms
Activiti,c16df687699e6631f5b2fdbb4c718c2cfb0bd369,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/c16df687699e6631f5b2fdbb4c718c2cfb0bd369/org/activiti/bpmn/converter/BpmnXMLConverter,SimpleInitializationBlockHandler,3,218 ms
