[#, project, merge commit, file, approach, timeStamp]
2,jackson-databind,d9b8e7beb11f2a66ba3ed1745bff66e44905b06a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/d9b8e7beb11f2a66ba3ed1745bff66e44905b06a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,1,34
3,jackson-databind,d9b8e7beb11f2a66ba3ed1745bff66e44905b06a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/d9b8e7beb11f2a66ba3ed1745bff66e44905b06a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,1,403
4,jackson-databind,d9b8e7beb11f2a66ba3ed1745bff66e44905b06a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/d9b8e7beb11f2a66ba3ed1745bff66e44905b06a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,1,357
5,jackson-databind,d9b8e7beb11f2a66ba3ed1745bff66e44905b06a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/d9b8e7beb11f2a66ba3ed1745bff66e44905b06a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,1,375
1,jackson-databind,f0430de160706ff6c3643100d02f1ad4d93ba51a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/f0430de160706ff6c3643100d02f1ad4d93ba51a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,38
2,jackson-databind,f0430de160706ff6c3643100d02f1ad4d93ba51a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/f0430de160706ff6c3643100d02f1ad4d93ba51a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,518
3,jackson-databind,f0430de160706ff6c3643100d02f1ad4d93ba51a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/f0430de160706ff6c3643100d02f1ad4d93ba51a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,673
4,jackson-databind,f0430de160706ff6c3643100d02f1ad4d93ba51a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/f0430de160706ff6c3643100d02f1ad4d93ba51a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,403
5,jackson-databind,f0430de160706ff6c3643100d02f1ad4d93ba51a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/f0430de160706ff6c3643100d02f1ad4d93ba51a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,354
1,jackson-databind,f0430de160706ff6c3643100d02f1ad4d93ba51a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/f0430de160706ff6c3643100d02f1ad4d93ba51a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,1,765
