project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
orientdb,6350a787c4a007f48eac093aa6861aaee6a82abb,ODefaultCommandExecutorSQLFactory,1,1,0,1,1,0,true,false,false,true,false,false
orientdb,1906d67c0416dae6dc03e10fccc2dd97338ea7e3,OLuceneIndexFactory,1,1,0,0,0,0,true,false,false,true,false,false
orientdb,27ee6881e801e5d00de960e60709dd168c2ea5f4,OLuceneIndexFactory,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,d76725da8492de762a02011bdcffde5fad7bcb5e,OrientdbEdgeTest,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,f4dc676e1d12cc28304d8a87a3c5663cd348aa51,OAbstractProfiler,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,f68549ec478b105706432cad6194687ecea5a651,OGraphCommandExecutorSQLFactory,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,0d0e2344fec96b13f4c32e2ef62927b2bc8b4f30,OGraphCommandExecutorSQLFactory,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,f7befffec35beecc8f45ff3dd7a1059074e059ce,OGraphCommandExecutorSQLFactory,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,1719a33e82b20fb3eb1766ed36aea9b766666ee0,OBinaryConverterFactory,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,0eb2d46654789a5327f3fcca00f8d40c23aa69b4,OJSONWriter,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,0eb2d46654789a5327f3fcca00f8d40c23aa69b4,OAbstractDistributedTask,1,1,0,0,0,0,true,false,false,true,false,false
orientdb,0eb2d46654789a5327f3fcca00f8d40c23aa69b4,ORecordSerializerJSON,0,0,0,0,0,0,true,false,false,true,true,true
orientdb,872bd9ad88f5c7144a999d1875f9a996be09caa7,OrientJdbcMetaData,1,1,0,0,0,0,true,false,false,true,false,false
