project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
Osmand,9e8b471b19a4024be14945b38da2e26c97b133a7,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,28df8d4f77761d681b5fed5506315c0132ecffc6,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,d2b1f577c01fd10df942c44f98de5559f55916b2,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,e21d00af35e1c748f9ed1b2bf5e2e93f554510cc,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,b9ba5c926c98bf590a0d327a7117e8d572900efa,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,82264be1d7f000394793e6eed8a32ae9acf47750,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,b3466bcf6941d721ae9b28b72b72ea347d1813ff,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,ed22ba35890d6928e37b6e2c9bb972a4e47a9aad,OsmandSettings,1,1,0,0,0,0,true,false,false,true,false,false
Osmand,6069ee0a38d1d81a6abe3e2201030a388196dea8,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,d463f715f56d7c336722e2ee8f6983a465706258,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,0240c8975270c268cc2d8ea977d91992cf7a35dc,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,c378b30740d7586daec651d860f4c4ceea7ed9e3,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,38c468928071cad69d70944eceb8cc0c78f67726,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,d6af0b679da06752cb35adecab4ee6e146a8095c,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,2a678e3103aede37e01ceabc367349c742efc7b7,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,ea04d35164b530f60ae5208004f972cbea8a2650,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,fa84c5acf9f5acf01b1e45961f4e56483c5edd93,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,a39d69db759c2d28c99a477e49193cca57b4b9b0,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,78adda625e2cf7523fac26770be3ef17dc164d8c,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,bb66257a08a3867f7d08bac99a750b65785cf1b2,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,c44441c7dbec7fcad7400952bf9eb96650fc12eb,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
