[#, project, merge commit, file, approach, timeStamp]
4,processing,b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d/processing/core/PApplet,InsertionLevelInitializationBlockHandler,3,985
5,processing,b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d/processing/core/PApplet,InsertionLevelInitializationBlockHandler,4,305
1,processing,b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d/processing/core/PApplet,SimpleInitializationBlockHandler,4,028
2,processing,b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d/processing/core/PApplet,SimpleInitializationBlockHandler,3,698
3,processing,b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d/processing/core/PApplet,SimpleInitializationBlockHandler,3,972
4,processing,b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d/processing/core/PApplet,SimpleInitializationBlockHandler,3,763
5,processing,b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d/processing/core/PApplet,SimpleInitializationBlockHandler,3,774
1,processing,f41c655db32c10d4bd685e5424b5e6b6dbe703ef,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/f41c655db32c10d4bd685e5424b5e6b6dbe703ef/processing/opengl/PJOGL,InsertionLevelInitializationBlockHandler,5,888
2,processing,f41c655db32c10d4bd685e5424b5e6b6dbe703ef,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/f41c655db32c10d4bd685e5424b5e6b6dbe703ef/processing/opengl/PJOGL,InsertionLevelInitializationBlockHandler,6,422
3,processing,f41c655db32c10d4bd685e5424b5e6b6dbe703ef,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/f41c655db32c10d4bd685e5424b5e6b6dbe703ef/processing/opengl/PJOGL,InsertionLevelInitializationBlockHandler,5,86
4,processing,f41c655db32c10d4bd685e5424b5e6b6dbe703ef,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/f41c655db32c10d4bd685e5424b5e6b6dbe703ef/processing/opengl/PJOGL,InsertionLevelInitializationBlockHandler,5,689
5,processing,f41c655db32c10d4bd685e5424b5e6b6dbe703ef,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/f41c655db32c10d4bd685e5424b5e6b6dbe703ef/processing/opengl/PJOGL,InsertionLevelInitializationBlockHandler,5,597
1,processing,f41c655db32c10d4bd685e5424b5e6b6dbe703ef,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/f41c655db32c10d4bd685e5424b5e6b6dbe703ef/processing/opengl/PJOGL,SimpleInitializationBlockHandler,5,945
2,processing,f41c655db32c10d4bd685e5424b5e6b6dbe703ef,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/f41c655db32c10d4bd685e5424b5e6b6dbe703ef/processing/opengl/PJOGL,SimpleInitializationBlockHandler,5,89
3,processing,f41c655db32c10d4bd685e5424b5e6b6dbe703ef,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/f41c655db32c10d4bd685e5424b5e6b6dbe703ef/processing/opengl/PJOGL,SimpleInitializationBlockHandler,6,009
4,processing,f41c655db32c10d4bd685e5424b5e6b6dbe703ef,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/f41c655db32c10d4bd685e5424b5e6b6dbe703ef/processing/opengl/PJOGL,SimpleInitializationBlockHandler,5,802
5,processing,f41c655db32c10d4bd685e5424b5e6b6dbe703ef,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/f41c655db32c10d4bd685e5424b5e6b6dbe703ef/processing/opengl/PJOGL,SimpleInitializationBlockHandler,5,937
1,processing,bdd2fbea315de6210c891451f300ee5215fcb0ff,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/bdd2fbea315de6210c891451f300ee5215fcb0ff/processing/app/Base,InsertionLevelInitializationBlockHandler,4,661
2,processing,bdd2fbea315de6210c891451f300ee5215fcb0ff,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/bdd2fbea315de6210c891451f300ee5215fcb0ff/processing/app/Base,InsertionLevelInitializationBlockHandler,4,862
3,processing,bdd2fbea315de6210c891451f300ee5215fcb0ff,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/bdd2fbea315de6210c891451f300ee5215fcb0ff/processing/app/Base,InsertionLevelInitializationBlockHandler,4,942
4,processing,bdd2fbea315de6210c891451f300ee5215fcb0ff,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/bdd2fbea315de6210c891451f300ee5215fcb0ff/processing/app/Base,InsertionLevelInitializationBlockHandler,4,751
5,processing,bdd2fbea315de6210c891451f300ee5215fcb0ff,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/bdd2fbea315de6210c891451f300ee5215fcb0ff/processing/app/Base,InsertionLevelInitializationBlockHandler,5,272
1,processing,bdd2fbea315de6210c891451f300ee5215fcb0ff,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/bdd2fbea315de6210c891451f300ee5215fcb0ff/processing/app/Base,SimpleInitializationBlockHandler,4,977
2,processing,bdd2fbea315de6210c891451f300ee5215fcb0ff,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/bdd2fbea315de6210c891451f300ee5215fcb0ff/processing/app/Base,SimpleInitializationBlockHandler,4,797
3,processing,bdd2fbea315de6210c891451f300ee5215fcb0ff,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/bdd2fbea315de6210c891451f300ee5215fcb0ff/processing/app/Base,SimpleInitializationBlockHandler,4,972
4,processing,bdd2fbea315de6210c891451f300ee5215fcb0ff,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/bdd2fbea315de6210c891451f300ee5215fcb0ff/processing/app/Base,SimpleInitializationBlockHandler,4,825
5,processing,bdd2fbea315de6210c891451f300ee5215fcb0ff,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/bdd2fbea315de6210c891451f300ee5215fcb0ff/processing/app/Base,SimpleInitializationBlockHandler,4,83
1,processing,79319fe4bdeaf36e858948694c050b5b355ab73f,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/79319fe4bdeaf36e858948694c050b5b355ab73f/processing/app/Base,InsertionLevelInitializationBlockHandler,5,582
