project;timeStamp
spring-boot;1,404
spring-boot;1,4
spring-boot;1,428
spring-boot;1,397
spring-boot;1,411
spring-boot;1,481
spring-boot;1,46
spring-boot;1,413
spring-boot;1,448
spring-boot;1,52
spring-boot;1,508
spring-boot;1,51
spring-boot;1,433
spring-boot;1,405
spring-boot;1,402
spring-boot;1,433
spring-boot;1,405
spring-boot;1,362
spring-boot;1,42
spring-boot;1,388
spring-boot;1,421
spring-boot;1,416
spring-boot;1,371
spring-boot;1,391
spring-boot;1,344
spring-boot;1,351
spring-boot;1,359
spring-boot;0,586
spring-boot;0,598
spring-boot;0,631
spring-boot;0,61
spring-boot;0,612
spring-boot;1,541
spring-boot;1,514
spring-boot;1,594
spring-boot;1,513
spring-boot;1,522
spring-boot;2,221
spring-boot;2,209
spring-boot;2,199
spring-boot;2,213
spring-boot;2,209
spring-boot;1,896
spring-boot;2,062
spring-boot;1,87
spring-boot;1,917
spring-boot;1,936
spring-boot;0,481
spring-boot;0,461
spring-boot;0,464
spring-boot;0,459
spring-boot;0,457
spring-boot;0,491
spring-boot;0,489
spring-boot;0,487
spring-boot;0,49
spring-boot;0,465
spring-boot;0,561
spring-boot;0,615
spring-boot;0,614
spring-boot;0,597
spring-boot;0,632
spring-boot;1,541
spring-boot;1,567
spring-boot;1,578
spring-boot;1,468
spring-boot;1,576
spring-boot;2,258
spring-boot;2,227
spring-boot;2,204
spring-boot;2,265
spring-boot;2,202
spring-boot;1,911
spring-boot;1,948
spring-boot;1,921
spring-boot;1,906
spring-boot;1,908
spring-boot;0,48
spring-boot;0,471
spring-boot;0,477
spring-boot;0,453
spring-boot;0,478
spring-boot;0,498
spring-boot;0,483
spring-boot;0,506
spring-boot;0,474
spring-boot;0,471
spring-boot;1,824
spring-boot;1,853
spring-boot;1,893
spring-boot;1,894
spring-boot;1,786
spring-boot;2,001
spring-boot;1,987
spring-boot;2,006
spring-boot;1,922
spring-boot;1,903
spring-boot;0,567
spring-boot;0,597
spring-boot;0,655
spring-boot;0,57
spring-boot;0,624
spring-boot;0,483
spring-boot;0,471
spring-boot;0,457
spring-boot;0,435
spring-boot;0,467
spring-boot;0,516
spring-boot;0,56
spring-boot;0,507
spring-boot;0,552
spring-boot;0,526
spring-boot;1,925
spring-boot;1,987
spring-boot;1,992
spring-boot;2,028
spring-boot;1,905
spring-boot;0,487
spring-boot;0,467
spring-boot;0,464
spring-boot;0,465
spring-boot;0,464
spring-boot;0,459
spring-boot;0,49
spring-boot;0,479
spring-boot;0,48
spring-boot;0,494
spring-boot;3,228
spring-boot;3,333
spring-boot;3,363
spring-boot;3,362
spring-boot;3,265
spring-boot;0,538
spring-boot;0,513
spring-boot;0,496
spring-boot;0,493
spring-boot;0,495
spring-boot;0,459
spring-boot;0,469
spring-boot;0,458
spring-boot;0,45
spring-boot;0,438
spring-boot;1,562
spring-boot;1,672
spring-boot;1,581
spring-boot;1,632
spring-boot;1,555
spring-boot;0,545
spring-boot;0,476
spring-boot;0,442
spring-boot;0,447
spring-boot;0,464
spring-boot;1,995
spring-boot;2,032
spring-boot;1,979
spring-boot;2,091
spring-boot;2,033
spring-boot;2,348
spring-boot;2,348
spring-boot;2,397
spring-boot;2,371
spring-boot;2,424
spring-boot;2,636
spring-boot;2,527
spring-boot;2,639
spring-boot;2,536
spring-boot;2,588
spring-boot;0,443
spring-boot;0,479
spring-boot;0,464
spring-boot;0,443
spring-boot;0,43
spring-boot;1,574
spring-boot;1,669
spring-boot;1,669
spring-boot;1,683
spring-boot;1,509
spring-boot;0,537
spring-boot;0,487
spring-boot;0,471
spring-boot;0,466
spring-boot;0,464
spring-boot;0,457
spring-boot;0,447
spring-boot;0,441
spring-boot;0,428
spring-boot;0,443
spring-boot;0,482
spring-boot;0,484
spring-boot;0,502
spring-boot;0,476
spring-boot;0,501
spring-boot;0,467
spring-boot;0,438
spring-boot;0,45
spring-boot;0,45
spring-boot;0,447
spring-boot;0,479
spring-boot;0,475
spring-boot;0,475
spring-boot;0,495
spring-boot;0,48
spring-boot;1,608
spring-boot;1,668
spring-boot;1,692
spring-boot;1,626
spring-boot;1,638
spring-boot;2,335
spring-boot;2,397
spring-boot;2,332
spring-boot;2,348
spring-boot;2,365
spring-boot;2,658
spring-boot;2,627
spring-boot;2,686
spring-boot;2,696
spring-boot;2,902
spring-boot;0,534
