project; merge commit ;ancestorSHA; left; right; pathFilesWithIniTBlock;  qtd_static
realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;f05d561;17cd606;realm/realm-annotations-processor/src/test/resources/io/realm/AllTypesRealmProxy.java;1
realm-java;f05d561eb61e4c0ae1c51f9574e446085840ed2a;4397969a2702e3c9d8a2f261cd2008e003b5a620;604e67a;566c24f;realm/realm-library/src/main/java/io/realm/internal/Util.java;1
realm-java;f05d561eb61e4c0ae1c51f9574e446085840ed2a;4397969a2702e3c9d8a2f261cd2008e003b5a620;604e67a;566c24f;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;f05d561eb61e4c0ae1c51f9574e446085840ed2a;4397969a2702e3c9d8a2f261cd2008e003b5a620;604e67a;566c24f;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;c79a4668e46bc8b2713be1e3a87dd9213cb215de;973d7ca117b3b861178e5c6725f06988bbc5e53f;7b8413b;4397969;realm/realm-annotations-processor/src/test/resources/io/realm/SimpleRealmProxy.java;1
realm-java;c79a4668e46bc8b2713be1e3a87dd9213cb215de;973d7ca117b3b861178e5c6725f06988bbc5e53f;7b8413b;4397969;realm/realm-annotations-processor/src/test/resources/io/realm/NullTypesRealmProxy.java;1
realm-java;c79a4668e46bc8b2713be1e3a87dd9213cb215de;973d7ca117b3b861178e5c6725f06988bbc5e53f;7b8413b;4397969;realm/realm-annotations-processor/src/test/resources/io/realm/RealmDefaultModuleMediator.java;1
realm-java;c79a4668e46bc8b2713be1e3a87dd9213cb215de;973d7ca117b3b861178e5c6725f06988bbc5e53f;7b8413b;4397969;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;c79a4668e46bc8b2713be1e3a87dd9213cb215de;973d7ca117b3b861178e5c6725f06988bbc5e53f;7b8413b;4397969;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;2
realm-java;c79a4668e46bc8b2713be1e3a87dd9213cb215de;973d7ca117b3b861178e5c6725f06988bbc5e53f;7b8413b;4397969;realm/realm-annotations-processor/src/test/resources/io/realm/BooleansRealmProxy.java;1
realm-java;c79a4668e46bc8b2713be1e3a87dd9213cb215de;973d7ca117b3b861178e5c6725f06988bbc5e53f;7b8413b;4397969;realm/realm-annotations-processor/src/test/resources/io/realm/AllTypesRealmProxy.java;1
realm-java;9bcdd318e9a32ad70abc3f1f6be942a492dde470;946a6590287186c80d0cc3bab6850fffb8d4b885;eef3ab5;973d7ca;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;38414debca84c2f7f9dfd2c2884e04c822f228cc;2f233742fd8c02f7de8320caec1cf516ddad74b9;946a659;43e2e6a;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;aafe61f2a84b47a0679bab3bebb05086aae691e9;b12e2efd557548a53efac7a431d5c03ffc9867cb;81a31f0;946a659;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;aafe61f2a84b47a0679bab3bebb05086aae691e9;b12e2efd557548a53efac7a431d5c03ffc9867cb;81a31f0;946a659;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;128d1ee7dca16e26d13969e1f4b1283209be3246;708296a5f67b08b222c6962f7851eea14226f55c;0ed5fed;8d2e3da;realm/realm-annotations-processor/src/test/resources/io/realm/SimpleRealmProxy.java;1
realm-java;128d1ee7dca16e26d13969e1f4b1283209be3246;708296a5f67b08b222c6962f7851eea14226f55c;0ed5fed;8d2e3da;realm/realm-annotations-processor/src/test/resources/io/realm/NullTypesRealmProxy.java;1
realm-java;128d1ee7dca16e26d13969e1f4b1283209be3246;708296a5f67b08b222c6962f7851eea14226f55c;0ed5fed;8d2e3da;realm/realm-annotations-processor/src/test/resources/io/realm/BooleansRealmProxy.java;1
realm-java;128d1ee7dca16e26d13969e1f4b1283209be3246;708296a5f67b08b222c6962f7851eea14226f55c;0ed5fed;8d2e3da;realm/realm-annotations-processor/src/test/resources/io/realm/AllTypesRealmProxy.java;1
realm-java;95c010cbf4c85518decb6bd88cb885651c494394;869cf6e149402f1650ae7ce9324a833937dee315;34a12a0;b12e2ef;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;95c010cbf4c85518decb6bd88cb885651c494394;869cf6e149402f1650ae7ce9324a833937dee315;34a12a0;b12e2ef;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;674e323f9bac139a613a6ff16696e699f63129db;ae4c9a9d74531e259b8e29b2ed3cbc354a0a1220;a732f1c;869cf6e;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;873114a09774914f934d55458e2e9648f6213a11;78ccde519eb2982ea994bf60fc5ca83395a520d0;5aec401;9290437;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;50bb0a7027b7c68a1c24895d0eb7bbfa1f51caa2;3f4f2c9ee4ddd6f90ef3341aa3fb7e0e82e21216;ae954d6;78ccde5;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;a732f1c162297f9f5c9c21c3c363619aa673d66d;ddcaf240197bd80d9279bcf36f8360e0b1be6b76;9f261c8;ae4c9a9;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;da21c0e578a879624f1535f02484df2d1750576a;60fdc890dcf31cc30b29fec1e80762f1798b9bce;f3b0259;e5c18eb;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;4fbee1e45d6117dc74d80d7b4014ad6656f46349;d87a1fbc8f282d63a71ca3f7c890831b877d9986;f20208c;ecbacf1;realm/realm-annotations-processor/src/test/resources/io/realm/SimpleRealmProxy.java;1
realm-java;4fbee1e45d6117dc74d80d7b4014ad6656f46349;d87a1fbc8f282d63a71ca3f7c890831b877d9986;f20208c;ecbacf1;realm/realm-annotations-processor/src/test/resources/io/realm/NullTypesRealmProxy.java;1
realm-java;4fbee1e45d6117dc74d80d7b4014ad6656f46349;d87a1fbc8f282d63a71ca3f7c890831b877d9986;f20208c;ecbacf1;realm/realm-annotations-processor/src/test/resources/io/realm/RealmDefaultModuleMediator.java;1
realm-java;4fbee1e45d6117dc74d80d7b4014ad6656f46349;d87a1fbc8f282d63a71ca3f7c890831b877d9986;f20208c;ecbacf1;realm/realm-annotations-processor/src/test/resources/io/realm/BooleansRealmProxy.java;1
realm-java;4fbee1e45d6117dc74d80d7b4014ad6656f46349;d87a1fbc8f282d63a71ca3f7c890831b877d9986;f20208c;ecbacf1;realm/realm-annotations-processor/src/test/resources/io/realm/AllTypesRealmProxy.java;1
realm-java;e71d47bbc666cfb5721c195f4ee184b1d56ba6ac;fa8affead222a823473639ff7d39c0a7fdbfe112;e9bce93;217e15c;realm/realm-library/src/main/java/io/realm/internal/Table.java;1
realm-java;3e99d724fa8393405491fbeab035a61a43f5aa8f;0b8e0e58a40d265518a6b62fc0e7668a16101d64;ad9a475;e999930;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;314daa067018a63e1c95b89ec9c1fff1cbd94d26;9c9cb70cb0157eb2433181f7460a89e38e133bf6;f359c19;0b8e0e5;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;c6d3734ed26b83e4bff407dc19f0e621c8a5a285;cb54b4429ac1d0b6128f92c696707ad68adf845b;c206064;6fe9765;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;2
realm-java;33aa1d4945a547cfe02ce30dc7ebf639b6bde481;5f38a6ed06717d8a2b2deafb3bf4e27a525a132c;d612b3f;2c7bbd4;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;be38d6b93b0ed753b5238b514d7a46aebe2d9a41;5444c96b8bec2a6537f30401cca3b452aab1a42a;03c8720;c8afc83;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;2
realm-java;76ee72c6692dbdeb8d1aefb4014c0a265408c5dd;dec497a570541ccfef559885880f322a5db84f9e;15215d4;31ab2ec;realm/realm-library/src/androidTest/java/io/realm/RealmQueryTests.java;2
realm-java;31ab2ec4512b4dc26f9f89cf0908f79f9d1bf0ae;45293d51962cb919272929a0801dcbb0796c6ce8;41166f9;f0b4c92;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;a05ddbc4c8549ac9e214e76566e25bc0c3725846;f8171e757ae5c03bbfed7b3d4624ce479b0028f4;e3430d6;4c21857;realm/realm-library/src/main/java/io/realm/internal/Util.java;1
realm-java;07ccdff85b7720fe3031226708a486b44f1ca435;fe2bae02029073d6eedcde61028d12a4d83390a3;0c574f0;7e3de50;realm/realm-library/src/main/java/io/realm/internal/Util.java;1
realm-java;6819e9ad1d159353497f264c39bf4a89a1925fef;337743ffa5ff9fc560f1e46f86044e2c90edb3d9;3f4a8ec;fe2bae0;realm/realm-library/src/main/java/io/realm/internal/Group.java;1
realm-java;6819e9ad1d159353497f264c39bf4a89a1925fef;337743ffa5ff9fc560f1e46f86044e2c90edb3d9;3f4a8ec;fe2bae0;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;b137fc0032a39914123d5caa6bdc9aa93d8311a0;2eb0fbcbd8104b88b0dfcc71497578337a8dea4a;b227ab2;12b6053;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;bd256dff7b5fdb12d5ce299233c4864a17297063;e9bfbe7f79087753df4102ba918fe57a4c84d970;2eb0fbc;337743f;realm/realm-library/src/main/java/io/realm/internal/Group.java;1
realm-java;bd256dff7b5fdb12d5ce299233c4864a17297063;e9bfbe7f79087753df4102ba918fe57a4c84d970;2eb0fbc;337743f;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;bd256dff7b5fdb12d5ce299233c4864a17297063;e9bfbe7f79087753df4102ba918fe57a4c84d970;2eb0fbc;337743f;realm/realm-library/src/main/java/io/realm/internal/Table.java;1
realm-java;ef3bb6f61d5f0671c593070bccb8e87ae4e8eab9;a73cb7969185ea10649ccf2bc73241d6908b861d;288f396;e9bfbe7;realm/realm-library/src/main/java/io/realm/internal/Group.java;1
realm-java;ef3bb6f61d5f0671c593070bccb8e87ae4e8eab9;a73cb7969185ea10649ccf2bc73241d6908b861d;288f396;e9bfbe7;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;ef3bb6f61d5f0671c593070bccb8e87ae4e8eab9;a73cb7969185ea10649ccf2bc73241d6908b861d;288f396;e9bfbe7;realm/realm-library/src/main/java/io/realm/internal/Table.java;1
realm-java;1f135d7208a6928ec630e59066a833dda2faae79;8e3ac2c99ca8adb68769d04122d46ad1294aa1cd;fe082ef;bf33480;realm/realm-library/src/main/java/io/realm/internal/SharedGroup.java;1
realm-java;fca44870b40e9b26d713ff83eab4f12190ae5086;71e4034fbc0885c5aaf7b7af8ca39b86c1324985;6e6fc05;9aa44d9;realm/realm-library/src/main/java/io/realm/internal/Util.java;1
realm-java;fca44870b40e9b26d713ff83eab4f12190ae5086;71e4034fbc0885c5aaf7b7af8ca39b86c1324985;6e6fc05;9aa44d9;realm/realm-library/src/main/java/io/realm/internal/Group.java;1
realm-java;fca44870b40e9b26d713ff83eab4f12190ae5086;71e4034fbc0885c5aaf7b7af8ca39b86c1324985;6e6fc05;9aa44d9;realm/realm-library/src/main/java/io/realm/internal/SharedGroup.java;1
realm-java;fca44870b40e9b26d713ff83eab4f12190ae5086;71e4034fbc0885c5aaf7b7af8ca39b86c1324985;6e6fc05;9aa44d9;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;6e6fc057c7e1af378f9b0eb39b86960d3247e99e;690738bf1ff294e43d578388b9688d2c1a725eac;bce619d;b041d61;realm/realm-library/src/main/java/io/realm/internal/SharedGroup.java;1
realm-java;9aa44d910ea16727d2f44977c962e3c883d53b2a;e6bb9748c21c486f619b61065ac66b219c421851;18656bb;71e4034;realm/realm-library/src/main/java/io/realm/internal/SharedGroup.java;1
realm-java;b92f44d1ff4c50e7a92da4e9c6d84764adb9027f;bfb48a2ed862ac8e8961f8df0b10c8fc85c6d4f7;eadc824;e9c8c0f;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;c299cccb2f4aa4e023d30004bfda1af63ddec0fc;7f112e07a18aba860f60b0d9bcacfa6a68b719a8;9186e49;5b08441;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;c299cccb2f4aa4e023d30004bfda1af63ddec0fc;7f112e07a18aba860f60b0d9bcacfa6a68b719a8;9186e49;5b08441;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;3c93498d62896303fdc539c9b661548facfc03d1;8473acea5d780d94e501b3b01784c81ec2c11e33;14e0e06;bb1ef16;realm/realm-library/src/androidTest/java/io/realm/RealmQueryTest.java;1
realm-java;29aef5ef14ae240937150b17dacc0854e0e02ea1;387e2b469363f9c3c8a59ff2c650b67f0dfd4a8f;c1a0bad;7ce43cb;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;b72fe809bc57647f9c9f0719ea4f5edf9acbc971;f84bdf28a9cafdcd0eed8fd042ad70969ca4fc7d;1727dfa;387e2b4;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;096ae918d9daab733cbb9b6fa2593bc5d921daea;314517234fb4f41c35234b7404bc2ce617ed0a27;9c95981;f84bdf2;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;096ae918d9daab733cbb9b6fa2593bc5d921daea;314517234fb4f41c35234b7404bc2ce617ed0a27;9c95981;f84bdf2;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;1008c3fe7180de999844e64f3ef43011aa68b8f7;bc53916662337a374f894b5c4255f5d5b1b8310c;d26f185;71e4f50;realm/realm-library/src/main/java/io/realm/internal/Util.java;1
realm-java;1008c3fe7180de999844e64f3ef43011aa68b8f7;bc53916662337a374f894b5c4255f5d5b1b8310c;d26f185;71e4f50;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;1008c3fe7180de999844e64f3ef43011aa68b8f7;bc53916662337a374f894b5c4255f5d5b1b8310c;d26f185;71e4f50;realm/realm-library/src/main/java/io/realm/internal/Group.java;1
realm-java;dc8707fc8f1a2874dbb0215a5f888e9cd9440e9a;cf966d633eedab95ce1b9e3f5d8ad0e855717b4a;78c4119;b296659;realm/realm-library/src/main/java/io/realm/internal/Table.java;1
realm-java;d00b959d82d4af0a5db537d43db62d75fe3b5c5d;1c75c9cc4c030ded2797d412e8e37c4d5f5944c4;088e2ce;b656f99;realm-annotations-processor/src/test/resources/io/realm/BooleansRealmProxy.java;1
realm-java;d00b959d82d4af0a5db537d43db62d75fe3b5c5d;1c75c9cc4c030ded2797d412e8e37c4d5f5944c4;088e2ce;b656f99;realm-annotations-processor/src/test/resources/io/realm/NullTypesRealmProxy.java;1
realm-java;d00b959d82d4af0a5db537d43db62d75fe3b5c5d;1c75c9cc4c030ded2797d412e8e37c4d5f5944c4;088e2ce;b656f99;realm/src/main/java/io/realm/internal/ColumnType.java;1
realm-java;d00b959d82d4af0a5db537d43db62d75fe3b5c5d;1c75c9cc4c030ded2797d412e8e37c4d5f5944c4;088e2ce;b656f99;realm-annotations-processor/src/main/java/io/realm/processor/Constants.java;3
